Date,Orders,Subtotal,Gross Sales,Refunds,Discounts,Net Sales,Cash,Gift Card Redemption,Store Credit Redemption,Taxes You Owe,Tips,Total Sales,Processing Fees,Snackpass Fees
9/28/2025,175,"$2,167.48 ","$2,362.85 ",$11.83 ,$128.69 ,"$2,222.33 ",$0.00 ,$0.00 ,$0.00 ,$6.85 ,$51.00 ,"$2,280.18 ",$119.01 ,$108.58 
9/27/2025,191,"$2,402.13 ","$2,614.95 ",$0.00 ,$155.07 ,"$2,459.88 ",$0.00 ,$0.00 ,$0.00 ,$11.07 ,$45.81 ,"$2,516.76 ",$130.37 ,$120.36 
9/26/2025,184,"$2,267.60 ","$2,481.27 ",$0.00 ,$156.97 ,"$2,324.30 ",$0.00 ,$0.00 ,$0.00 ,$8.97 ,$56.85 ,"$2,390.12 ",$124.54 ,$113.54 
9/25/2025,214,"$2,385.21 ","$2,629.29 ",$0.00 ,$180.58 ,"$2,448.71 ",$0.00 ,$0.00 ,$0.00 ,$3.90 ,$55.50 ,"$2,508.11 ",$137.07 ,$119.51 
9/24/2025,152,"$1,747.98 ","$1,945.63 ",$10.75 ,$142.75 ,"$1,792.13 ",$0.00 ,$0.00 ,$0.00 ,$5.70 ,$42.50 ,"$1,840.33 ",$99.38 ,$87.54 
9/23/2025,169,"$2,019.67 ","$2,212.19 ",$6.92 ,$135.90 ,"$2,069.37 ",$0.00 ,$0.00 ,$0.00 ,$5.74 ,$42.00 ,"$2,117.11 ",$112.45 ,$101.18 
9/22/2025,111,"$1,445.08 ","$1,588.30 ",$0.00 ,$109.87 ,"$1,478.43 ",$0.00 ,$0.00 ,$0.00 ,$6.22 ,$33.65 ,"$1,518.30 ",$77.40 ,$72.37 
9/21/2025,180,"$2,300.22 ","$2,471.84 ",$3.49 ,$114.33 ,"$2,354.02 ",$0.00 ,$0.00 ,$0.00 ,$5.88 ,$58.30 ,"$2,418.20 ",$124.33 ,$115.14 
9/20/2025,201,"$2,623.19 ","$2,810.25 ",$0.00 ,$125.81 ,"$2,684.44 ",$0.00 ,$0.00 ,$0.00 ,$9.63 ,$71.00 ,"$2,765.07 ",$140.51 ,$131.33 
9/19/2025,201,"$2,733.15 ","$2,918.64 ",$0.00 ,$124.34 ,"$2,794.30 ",$0.00 ,$0.00 ,$0.00 ,$8.83 ,$62.01 ,"$2,865.14 ",$143.42 ,$136.78 
9/18/2025,193,"$2,388.81 ","$2,576.76 ",$24.79 ,$105.41 ,"$2,446.56 ",$0.00 ,$0.00 ,$0.00 ,$4.60 ,$31.00 ,"$2,482.16 ",$130.82 ,$119.91 
9/17/2025,179,"$2,125.92 ","$2,216.78 ",$0.00 ,$37.61 ,"$2,179.17 ",$0.00 ,$0.00 ,$0.00 ,$6.78 ,$49.37 ,"$2,235.32 ",$118.74 ,$107.34 
9/16/2025,214,"$2,592.43 ","$2,744.26 ",$0.00 ,$87.73 ,"$2,656.53 ",$0.00 ,$0.00 ,$0.00 ,$7.90 ,$60.80 ,"$2,725.23 ",$143.28 ,$129.81 
9/15/2025,129,"$1,434.28 ","$1,588.90 ",$0.00 ,$115.37 ,"$1,473.53 ",$0.00 ,$0.00 ,$0.00 ,$4.52 ,$34.00 ,"$1,512.05 ",$82.74 ,$72.57 
9/14/2025,221,"$2,965.27 ","$3,116.29 ",$0.00 ,$85.27 ,"$3,031.02 ",$0.00 ,$0.00 ,$0.00 ,$6.35 ,$56.00 ,"$3,093.37 ",$156.00 ,$148.51 
9/13/2025,230,"$2,715.31 ","$2,830.38 ",$0.00 ,$46.07 ,"$2,784.31 ",$0.00 ,$0.00 ,$0.00 ,$6.99 ,$42.85 ,"$2,834.15 ",$151.48 ,$136.59 
9/12/2025,208,"$2,681.37 ","$2,833.00 ",$0.00 ,$89.33 ,"$2,743.67 ",$0.00 ,$0.00 ,$0.00 ,$6.92 ,$51.72 ,"$2,802.31 ",$143.65 ,$134.21 
9/11/2025,194,"$2,263.39 ","$2,490.86 ",$7.51 ,$162.61 ,"$2,320.74 ",$0.00 ,$0.00 ,$0.00 ,$10.62 ,$60.75 ,"$2,392.11 ",$128.02 ,$114.27 
9/10/2025,172,"$1,902.57 ","$2,106.87 ",$0.00 ,$152.80 ,"$1,954.07 ",$0.00 ,$0.00 ,$0.00 ,$6.13 ,$46.00 ,"$2,006.20 ",$109.79 ,$95.29 
9/9/2025,189,"$2,068.26 ","$2,266.13 ",$0.00 ,$140.82 ,"$2,125.31 ",$0.00 ,$0.00 ,$0.00 ,$4.96 ,$51.00 ,"$2,181.27 ",$120.40 ,$104.58 
9/8/2025,115,"$1,268.95 ","$1,398.25 ",$0.00 ,$95.35 ,"$1,302.90 ",$0.00 ,$0.00 ,$0.00 ,$2.96 ,$29.25 ,"$1,335.11 ",$73.22 ,$63.59 
9/7/2025,196,"$2,537.48 ","$2,677.79 ",$0.00 ,$81.71 ,"$2,596.08 ",$0.00 ,$0.00 ,$0.00 ,$5.91 ,$63.01 ,"$2,665.00 ",$136.25 ,$127.90 
9/6/2025,209,"$2,766.11 ","$2,939.82 ",$0.00 ,$110.36 ,"$2,829.46 ",$0.00 ,$0.00 ,$0.00 ,$5.64 ,$63.57 ,"$2,898.67 ",$146.73 ,$138.42 
9/5/2025,258,"$2,832.67 ","$3,154.67 ",$0.00 ,$245.20 ,"$2,909.47 ",$0.00 ,$0.00 ,$0.00 ,$9.87 ,$73.50 ,"$2,992.84 ",$164.19 ,$141.86 
9/4/2025,200,"$2,395.84 ","$2,627.90 ",$0.00 ,$172.66 ,"$2,455.24 ",$0.00 ,$0.00 ,$0.00 ,$9.54 ,$51.50 ,"$2,516.28 ",$133.00 ,$119.93 
9/3/2025,150,"$1,774.16 ","$1,995.21 ",$0.00 ,$175.05 ,"$1,820.16 ",$0.00 ,$0.00 ,$0.00 ,$6.22 ,$37.00 ,"$1,863.38 ",$99.13 ,$88.85 
9/2/2025,171,"$1,855.16 ","$2,059.09 ",$0.00 ,$151.98 ,"$1,907.11 ",$0.00 ,$0.00 ,$0.00 ,$2.72 ,$39.50 ,"$1,949.33 ",$108.22 ,$93.80 
9/1/2025,186,"$2,419.72 ","$2,660.11 ",$0.00 ,$185.09 ,"$2,475.02 ",$0.00 ,$0.00 ,$0.00 ,$11.20 ,$57.80 ,"$2,544.02 ",$129.54 ,$121.18 
8/31/2025,243,"$2,968.61 ","$3,270.71 ",$25.19 ,$204.61 ,"$3,040.91 ",$0.00 ,$0.00 ,$0.00 ,$19.31 ,$70.02 ,"$3,130.24 ",$164.51 ,$148.66 
8/30/2025,195,"$2,453.22 ","$2,690.80 ",$0.00 ,$178.93 ,"$2,511.87 ",$0.00 ,$0.00 ,$0.00 ,$5.55 ,$59.66 ,"$2,577.08 ",$133.36 ,$122.82 
8/29/2025,211,"$2,698.96 ","$2,845.09 ",$0.00 ,$82.78 ,"$2,762.31 ",$0.00 ,$0.00 ,$0.00 ,$9.58 ,$61.35 ,"$2,833.24 ",$145.46 ,$135.13 
8/28/2025,171,"$2,095.51 ","$2,284.80 ",$0.00 ,$137.14 ,"$2,147.66 ",$0.00 ,$0.00 ,$0.00 ,$4.26 ,$62.97 ,"$2,214.89 ",$115.65 ,$104.90 
